SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1385.00,1393.35,1368.00,1371.35,1373.00,1381.40,1187,10812,14938049.00,
500003,AEGIS LOGIS ,A ,Q,334.90,335.50,325.55,328.30,328.30,325.50,1602,39689,13146579.00,
500008,AMAR RAJA BA,A ,Q,790.00,790.00,775.00,776.25,777.00,780.70,3760,117730,91751437.00,
500009,A.SARABHAI  ,X ,Q,27.30,27.90,26.50,27.15,27.15,26.70,638,289132,7940687.00,
500010,HDFC        ,A ,Q,2454.00,2507.00,2439.00,2496.25,2496.25,2430.55,15919,224612,555751082.00,
500012,ANDHRA PETRO,X ,Q,67.80,70.50,67.05,68.60,68.60,67.80,786,280852,19479490.00,
500013,ANSAL INFRAS,B ,Q,5.47,5.76,5.45,5.71,5.75,5.49,96,60469,337372.00,
500014,UTIQUE      ,X ,Q,2.30,2.32,2.21,2.32,2.32,2.32,13,1959,4389.00,
500016,ARUNAHTEL   ,XT,Q,6.70,6.70,6.70,6.70,6.70,6.80,2,200,1340.00,
500020,BOM DYEING  ,A ,Q,71.80,73.55,70.80,72.20,72.20,71.10,2956,541721,38994077.00,
500023,ASIANHOTNR  ,B ,Q,69.40,69.40,64.70,66.85,66.85,64.30,10,154,10413.00,
500027,ATUL LTD.   ,A ,Q,8497.00,8559.85,8265.00,8316.55,8326.35,8439.70,667,2862,23867852.00,
500028,ATV PROJECTS,XT,Q,4.64,4.73,4.29,4.63,4.65,4.51,49,18984,88262.00,
500031,BAJAJ ELECT.,A ,Q,1156.90,1156.90,1100.00,1115.40,1113.45,1117.25,2459,14430,16120887.00,
500032,BAJAJHIND   ,A ,Q,9.02,10.39,9.02,10.25,10.25,8.94,4523,4366395,42722470.00,
500033,FORCE MOTR  ,A ,Q,1204.00,1204.95,1142.70,1152.30,1150.00,1183.70,688,3705,4331697.00,
500034,BAJFINANCE  ,A ,Q,5589.00,5612.00,5457.20,5491.05,5491.05,5529.10,10019,95089,525505870.00,
500038,BALRAM.CHINI,A ,Q,322.05,328.95,312.05,316.95,316.95,311.05,5095,252951,81010732.00,
500039,BANCO PROD. ,B ,Q,154.00,156.00,151.00,152.05,152.05,154.40,463,13598,2085321.00,
500040,CENTURY TEXT,A ,Q,470.10,475.00,464.40,468.55,468.55,477.15,1225,65281,30662525.00,
500041,BANNARI AMAN,A ,Q,2030.00,2040.00,1970.00,1982.05,1982.00,1956.45,122,599,1199329.00,
500042,BASF INDIA  ,A ,Q,2293.05,2516.90,2293.00,2453.60,2453.60,2293.55,2726,18003,43956956.00,
500043,BATA INDIA  ,A ,Q,1353.10,1363.00,1346.70,1351.10,1351.10,1353.15,1361,17882,24186002.00,
500048,BEML LTD    ,A ,Q,1193.95,1199.00,1166.00,1177.65,1174.85,1190.00,522,33367,39545120.00,
500049,BHARAT ELECT,A ,Q,143.00,143.45,137.35,137.90,137.90,142.40,6484,753912,105144079.00,
500052,BHANSALI ENG,A ,Q,171.45,172.50,167.25,169.20,169.20,167.70,2730,286416,48489207.00,
500055,TATASTLBSL  ,B ,Q,89.70,95.85,89.70,95.85,95.85,87.15,12405,2450410,229979174.00,
500058,BIHAR SPONGE,XT,Q,4.83,4.83,4.83,4.83,4.83,4.74,25,32505,156999.00,
500060,BIRLACABLE  ,B ,Q,62.05,63.40,61.95,62.00,61.95,62.10,420,7967,495896.00,
500067,BLUE STAR   ,A ,Q,860.00,870.00,834.20,843.40,840.85,828.50,974,13117,11140293.00,
500068,DISA INDIA  ,X ,Q,4460.00,4575.00,4460.00,4504.30,4501.00,4505.00,22,86,390416.00,
500069,BNK CAPITAL ,XT,Q,190.00,191.80,188.65,189.05,189.05,190.50,15,1255,237073.00,
500074,BPL LTD.    ,B ,Q,32.35,32.35,31.40,32.35,32.35,30.85,133,29081,937499.00,
500078,OAL         ,B ,Q,896.00,896.65,863.35,868.90,869.00,896.35,391,6656,5872809.00,
500083,CENTURY EXT ,B ,Q,5.75,5.80,5.50,5.71,5.66,5.41,342,131167,750846.00,
500084,CESC LTD.   ,A ,Q,620.00,658.45,619.20,653.30,653.30,626.15,5495,104622,67673699.00,
500085,CHAMBAL FERT,A ,Q,223.70,224.20,217.55,218.90,218.90,221.75,1132,47913,10565081.00,
500086,EXIDE IND.  ,A ,Q,182.70,184.00,182.55,183.35,183.35,182.85,3412,231030,42331795.00,
500087,CIPLA LTD.  ,A ,Q,894.45,895.10,877.60,882.95,882.95,883.80,6316,274097,243099598.00,
